title,image,text
"Похоже, на маршах столько еще не задерживали. В списках правозащитников уже 1000 человек",https://content.onliner.by/news/970x485/72e3fb0a060179bda64f1669be03e495.jpeg,"По информации не зарегистрированного в Беларуси правозащитного центра «Вясна», сегодня в Минске было задержано более 1000 человек. Столько фамилий значится в списках правозащитников. Похоже, никогда "
"В Минске задержали известных спортсменов, мисс Беларусь — 2008 и Маляваныча из «Калыханкi»",https://content.onliner.by/news/970x485/36c666289035924bf494da91bf65fc4a.jpeg,"Сегодня в Минске задержали легкоатлета Андрея Кравченко и кикбоксера Ивана Ганина, сообщает Belarusian Sport Solidarity Foundation. В момент задержания оба спортсмена находились в машине на одной из "
Людей задерживали по всему центру города. Главное за день,https://content.onliner.by/news/1400x5616/94d9a75ed4ff4483f28837412acfb125.jpeg,"Людей задерживали по всему центру города. Главное за день
Итак, настало очередное воскресенье. В центре Минска полно силовиков и техники, протестующие собираются в разных частях города и "
"",https://content.onliner.by/news/1400x5616/239148edc4addcd27f2d750bfc3801f3.jpeg,"Акция медиков, женский демарш и задержания. Что происходит в Минске 7 ноября
Новые выходные — новые политические события. Пока официальные ленты новостей пополняются новостями об открытии АЭС, возле "
В Беларуси за сутки коронавирусом заразились 983 человека,https://content.onliner.by/news/970x485/27c90fbae008d449e2e92bb9be278037.jpeg,Минздрав опубликовал официальную статистику по коронавирусу на 9 ноября. Всего с начала эпидемии ведомством зарегистрировано 107 262 случаев заражения. Суточный прирост — 983 человека. Умерли 1011 
В Беларуси за сутки коронавирусом заразились 983 человека,https://content.onliner.by/news/970x485/27c90fbae008d449e2e92bb9be278037.jpeg,Минздрав опубликовал официальную статистику по коронавирусу на 9 ноября. Всего с начала эпидемии ведомством зарегистрировано 107 262 случаев заражения. Суточный прирост — 983 человека. Умерли 1011 
"",https://content.onliner.by/news/1400x5616/39360878937b0a997938866da629e098.jpeg,"«Украинская зарплата вскоре опередит белорусскую». Сможет ли белорусская экономика выйти на уровень «не хуже, чем у соседей»
В понедельник премьер-министр Роман Головченко докладывал Александру "
"",https://content.onliner.by/news/1400x5616/39360878937b0a997938866da629e098.jpeg,"«Украинская зарплата вскоре опередит белорусскую». Сможет ли белорусская экономика выйти на уровень «не хуже, чем у соседей»
В понедельник премьер-министр Роман Головченко докладывал Александру "
"",https://content.onliner.by/news/1400x5616/aad1b9fd10f0d3ec731793c10e22c535.jpeg,"СПЕЦПРОЕКТ
Зумер Кирилл Кветка: в соцсетях почти 300 тысяч подписчиков благодаря цветам, которые выращиваю
Кирилл Кветка — зумер, 18 лет. Выращиванием цветов начал заниматься примерно в 5 лет. Сейчас "
"",https://content.onliner.by/news/1400x5616/aad1b9fd10f0d3ec731793c10e22c535.jpeg,"СПЕЦПРОЕКТ
Зумер Кирилл Кветка: в соцсетях почти 300 тысяч подписчиков благодаря цветам, которые выращиваю
Кирилл Кветка — зумер, 18 лет. Выращиванием цветов начал заниматься примерно в 5 лет. Сейчас "
